id,w,division,type
01004,15901.4,7,4
01005,4751.97,4,2
01006,8500.6,10,5
01007,7489.17,7,2
01008,5414.54,1,2
01009,13960.2,9,5
01010,3242.22,4,2
01011,7489.17,7,2
01012,16122.13,3,4
01013,6557.73,5,2
01014,6506.7,5,2
01015,11036.38,7,3
01016,4336.08,1,2
01017,17888.36,3,2
01018,3079.47,4,3
01019,8697.56,3,2
01020,11076.59,9,2
01021,18655.69,3,3
01022,10552.05,4,5
01023,8345.55,7,2
01024,7784.79,7,2
01025,9030.78,6,3
01026,2886.61,1,3
01027,8542.97,7,2
01028,7229.76,2,2
01029,4197.34,1,2
01030,7632.08,4,2
01031,3532.47,4,4
01032,9713.22,6,2
01033,6246.34,1,2
01034,13155.68,8,2
01035,5914.24,4,5
01036,12888.29,5,2
01037,5675.99,4,5
01038,4996.53,4,2
01039,2742.57,4,2
01040,5956.56,4,5
01041,7715.6,2,5
01042,5536.85,4,5
01043,8812.43,10,4
01044,15440.36,9,5
01045,29302.45,10,1
01046,9610.73,10,5
01047,7503.02,10,2
01048,5878.4,5,2
01049,14073.52,7,5
01050,8932.06,2,4
01051,17230.63,3,2
01052,6798.75,10,2
01053,6267.95,5,2
01054,7136.88,10,2
01055,8728.13,5,5
01056,2935.68,4,2
01057,6139.28,4,2
01058,4786.03,2,3
01059,4555.89,1,4
01060,23078.96,2,5
01061,6032.4,1,5
01062,5562.51,4,2
01063,8274.02,2,4
01064,9416.9,3,2
01065,8345.55,7,2
01066,12575.24,5,2
01067,13799.92,5,2
01068,14567.19,9,2
01069,3576.14,1,1
01070,8356.95,10,4
01071,7742.86,2,2
01072,6992.06,10,5
01073,9154.92,7,5
01074,8272.57,4,1
01075,7190.39,5,2
01076,21406.24,2,2
01077,15578.66,3,2
01078,6576.85,7,2
01079,15489.58,2,2
01080,7707.69,5,2
01081,10016.75,3,2
01082,10215.14,5,2
01083,10845.2,3,2
01084,9574.48,7,2
01085,6583.36,5,5
01086,10049.7,4,2
01087,6311.3,4,2
01088,6064.48,4,2
01089,6612.77,5,2
01090,9330.29,5,5
01091,4622.78,4,3
01092,4697.21,4,2
01093,14727.35,3,2
01094,9567.87,3,3
01095,3909.18,4,2
01096,21468.23,2,5
01097,12549.3,9,5
01098,17543.67,2,2
01099,9229.28,5,2
01100,8458.37,5,2
01101,2778.26,4,2
01102,7453.65,6,3
01103,6373.55,1,2
01104,6035.61,10,3
01105,8913.82,5,2
01106,4114.66,1,3
01107,2742.57,4,2
01108,11465.62,5,2
01109,14549.08,5,2
01110,10062.81,2,5
01111,2711.43,4,2
01112,6910.33,5,2
01113,4751.97,4,2
01114,7742.86,2,2
01115,15046.41,5,2
01116,7720.4,10,2
01117,12469.96,5,5
01118,6252.35,5,2
01119,2778.26,4,2
01120,29148.29,3,2
01121,19500.09,3,5
01122,7264.47,10,2
01123,6800.58,5,2
01124,17427.99,3,2
01125,4751.97,4,2
01126,9516.48,9,2
01127,4151.13,1,2
01128,9713.22,6,2
01129,7872.64,5,5
01130,9229.51,7,2
01131,18001.17,5,5
01132,7327.23,2,2
01133,12100.53,3,2
01134,14615.7,3,2
01135,7088.61,10,5
01136,6800.58,5,2
01137,7571.03,10,2
01138,8236.3,10,2
01139,29169.8,3,5
01140,24080.23,2,2
01141,11465.62,5,2
01142,11226.26,3,5
01143,8862.19,7,5
01144,7579.08,6,5
01145,4181.56,1,2
01146,18381.75,2,1
01147,21684.65,10,2
01148,7549.59,6,2
01149,2993.34,4,2
01150,8742.8,1,2
01151,8280.19,10,3
01152,7537.76,10,2
01153,16140.97,2,4
01154,8064.03,5,2
01155,8862.19,7,5
01156,9131.57,10,2
01157,12332.24,5,2
01158,3305.63,4,4
01159,11362.76,6,2
01160,13336.63,5,2
01161,10774.59,10,1
01162,7327.23,2,2
01163,2894.87,4,2
